code,report,rtn1y,rtn2y
002129,002129_TCL中环_2020年年度报告.pdf,0.6352076539264078,-0.09467053005151704
002129,002129_TCL中环_2021年年度报告.pdf,-0.09467053005151704,-0.4738399595435712
002142,002142_宁波银行_2020年年度报告.pdf,0.136483478932818,-0.1335228694515604
002142,002142_宁波银行_2021年年度报告.pdf,-0.1335228694515604,-0.3424868135765188
002179,002179_中航光电_2020年年度报告.pdf,0.2869429113847035,-0.188264326270337
002180,002180_纳思达_2020年年度报告.pdf,0.771846429828269,0.08716890886225692
002180,002180_纳思达_2021年年度报告.pdf,0.08716890886225692,-0.5520668913681152
002230,002230_科大讯飞_2020年年度报告.pdf,0.2851898564577375,-0.3669259713137527
002230,002230_科大讯飞_2021年年度报告.pdf,-0.3669259713137527,0.4041394035141384
002236,002236_大华股份_2020年年度报告.pdf,0.1867334969229408,-0.4848145178484188
002236,002236_大华股份_2021年年度报告.pdf,-0.4848145178484188,0.6082264739151639
002241,002241_歌尔股份_2020年年度报告.pdf,0.4458204444366265,-0.6749205321936993
002241,002241_歌尔股份_2021年年度报告.pdf,-0.6749205321936993,0.2398194856550107
002252,002252_上海莱士_2020年年度报告.pdf,-0.07232795349789944,-0.0635478839731144
002252,002252_上海莱士_2021年年度报告.pdf,-0.0635478839731144,0.2534671957368642
002271,002271_东方雨虹_2020年年度报告.pdf,0.3583934480973761,-0.3501826344654039
002271,002271_东方雨虹_2021年年度报告.pdf,-0.3501826344654039,-0.4086704548287963
002304,002304_洋河股份_2020年年度报告.pdf,-0.2682776028193342,-0.006646675976683669
002304,002304_洋河股份_2021年年度报告.pdf,-0.006646675976683669,-0.2535577788663781
002311,002311_海大集团_2020年年度报告.pdf,0.1203514652865496,-0.1509408888043887
002311,002311_海大集团_2021年年度报告.pdf,-0.1509408888043887,-0.2550351356123494
002352,002352_顺丰控股_2020年年度报告.pdf,-0.2107932302759494,-0.15428729753006
002352,002352_顺丰控股_2021年年度报告.pdf,-0.15428729753006,-0.2844568813418842
002371,002371_北方华创_2020年年度报告.pdf,0.9181069627567484,-0.3496427986252887
002371,002371_北方华创_2021年年度报告.pdf,-0.3496427986252887,0.0922286975909099
002410,002410_广联达_2020年年度报告.pdf,-0.1796942349723367,-0.05644828104819199
002410,002410_广联达_2021年年度报告.pdf,-0.05644828104819199,-0.5691341662201911
002415,002415_海康威视_2020年年度报告.pdf,0.08954460949411414,-0.2983545276280277
002415,002415_海康威视_2021年年度报告.pdf,-0.2983545276280277,0.018816025503404
002459,002459_晶澳科技_2020年年度报告.pdf,1.271512511292067,-0.09032356792128804
002459,002459_晶澳科技_2021年年度报告.pdf,-0.09032356792128804,-0.5093471292145503
002460,002460_赣锋锂业_2021年年度报告.pdf,-0.3135229954781352,-0.363372554426817
002466,002466_天齐锂业_2021年年度报告.pdf,-0.2682893181262984,-0.264370358713148
002475,002475_立讯精密_2020年年度报告.pdf,-0.1207008334286788,-0.3500103083453101
002475,002475_立讯精密_2021年年度报告.pdf,-0.3500103083453101,0.0878578051489387
002493,002493_荣盛石化_2020年年度报告.pdf,-0.007755936111237816,-0.3058065239646162
002493,002493_荣盛石化_2021年年度报告.pdf,-0.3058065239646162,-0.138875283157037
002555,002555_三七互娱_2020年年度报告.pdf,-0.1182973966952111,-0.2852239351716531
002555,002555_三七互娱_2021年年度报告.pdf,-0.2852239351716531,0.07826222099439728
002594,002594_比亚迪_2020年年度报告.pdf,0.3787049751892844,-0.04120783394366156
002594,002594_比亚迪_2021年年度报告.pdf,-0.04120783394366156,-0.2239665232317961
002601,002601_龙佰集团_2020年年度报告.pdf,-0.02902709481070287,-0.2483974251864792
002601,002601_龙佰集团_2021年年度报告.pdf,-0.2483974251864792,-0.03473128159664474
002603,002603_以岭药业_2020年年度报告.pdf,0.111692863911441,0.5106530570573022
002603,002603_以岭药业_2021年年度报告.pdf,0.5106530570573022,-0.2027298037810519
002648,002648_卫星化学_2020年年度报告.pdf,1.107614116425416,-0.2142009906260162
002709,002709_天赐材料_2020年年度报告.pdf,0.875911754783161,-0.229758404008567
002709,002709_天赐材料_2021年年度报告.pdf,-0.229758404008567,-0.4103150089272845
002714,002714_牧原股份_2020年年度报告.pdf,-0.01201575237176533,-0.07905047893253991
002714,002714_牧原股份_2021年年度报告.pdf,-0.07905047893253991,-0.1348323544306649
002736,002736_国信证券_2020年年度报告.pdf,-0.1277596970851073,-0.1593495032200277
002736,002736_国信证券_2021年年度报告.pdf,-0.1593495032200277,-0.006374024947509049
002812,002812_恩捷股份_2020年年度报告.pdf,0.7622841414177981,-0.4723930408966316
002812,002812_恩捷股份_2021年年度报告.pdf,-0.4723930408966316,-0.5584844840473777
002821,002821_凯莱英_2020年年度报告.pdf,0.4540183849683908,-0.5194183626298707
002821,002821_凯莱英_2021年年度报告.pdf,-0.5194183626298707,-0.2005834088621964
002841,002841_视源股份_2020年年度报告.pdf,-0.2788077582498367,-0.2545493411179909
002841,002841_视源股份_2021年年度报告.pdf,-0.2545493411179909,-0.1945622672989664
002916,002916_深南电路_2020年年度报告.pdf,0.1340266112179997,-0.3917938025063713
002916,002916_深南电路_2021年年度报告.pdf,-0.3917938025063713,-0.002185188219414491
002920,002920_德赛西威_2020年年度报告.pdf,0.6801071452245449,-0.2506190995645186
002920,002920_德赛西威_2021年年度报告.pdf,-0.2506190995645186,0.2317299875354806
002938,002938_鹏鼎控股_2020年年度报告.pdf,-0.1329003439151712,-0.3297891997082737
002938,002938_鹏鼎控股_2021年年度报告.pdf,-0.3297891997082737,-0.1500922772014239
003816,003816_中国广核_2021年年度报告.pdf,-0.1093704674255868,0.1740827228619604
003816,003816_中国广核_境内同步披露公告- 2021年度报告.pdf,-0.1093704674255868,0.1740827228619604
003816,003816_中国广核_境内同步披露公告2020年度报告.pdf,0.1343158437230205,-0.1093704674255868
300014,300014_亿纬锂能_2020年年度报告.pdf,0.4489995978290797,-0.2542518613346625
300014,300014_亿纬锂能_2021年年度报告.pdf,-0.2542518613346625,-0.5155856710702194
300015,300015_爱尔眼科_2020年年度报告.pdf,-0.2640744557137569,-0.0418449580738729
300015,300015_爱尔眼科_2021年年度报告.pdf,-0.0418449580738729,-0.3293302939694857
300033,300033_同花顺_2020年年度报告.pdf,0.1703329294102567,-0.2948553928943434
300033,300033_同花顺_2021年年度报告.pdf,-0.2948553928943434,0.5750090007799291
300059,300059_东方财富_2020年年度报告.pdf,0.4367066714288828,-0.3689808270374841
300059,300059_东方财富_2021年年度报告.pdf,-0.3689808270374841,-0.1266368959291945
300122,300122_智飞生物_2020年年度报告.pdf,-0.1526780930864953,-0.285836371519343
300122,300122_智飞生物_2021年年度报告.pdf,-0.285836371519343,0.04785170855896692
300124,300124_汇川技术_2020年年度报告.pdf,0.1043148674391738,0.01693342087025584
300124,300124_汇川技术_2021年年度报告.pdf,0.01693342087025584,-0.08402930804769415
300142,300142_沃森生物_2020年年度报告.pdf,0.4567325903535522,-0.2834485836181819
300142,300142_沃森生物_2021年年度报告.pdf,-0.2834485836181819,-0.4122096504284286
300223,300223_北京君正_2020年年度报告.pdf,0.4633530450037178,-0.4705768001929072
300223,300223_北京君正_2021年年度报告.pdf,-0.4705768001929072,-0.08009549164689167
300274,300274_阳光电源_2020年年度报告.pdf,1.013352976353358,-0.2316274200021216
300274,300274_阳光电源_2021年年度报告.pdf,-0.2316274200021216,-0.2131934735205006
300308,300308_中际旭创_2020年年度报告.pdf,-0.1609434197362372,-0.3553205873833357
300308,300308_中际旭创_2021年年度报告.pdf,-0.3553205873833357,3.110949388188156
300316,300316_晶盛机电_2020年年度报告.pdf,1.291182679541613,-0.08054654134179506
300316,300316_晶盛机电_2021年年度报告.pdf,-0.08054654134179506,-0.2947424319537523
300347,300347_泰格医药_2020年年度报告.pdf,-0.2060312944365974,-0.1743193411789783
300347,300347_泰格医药_2021年年度报告.pdf,-0.1743193411789783,-0.4623903813012202
300408,300408_三环集团_2020年年度报告.pdf,0.1979325595502794,-0.2949056250506974
300408,300408_三环集团_2021年年度报告.pdf,-0.2949056250506974,-0.03095566803755523
300413,300413_芒果超媒_2020年年度报告.pdf,-0.2083947446440708,-0.4699474317253629
300413,300413_芒果超媒_2021年年度报告.pdf,-0.4699474317253629,-0.1535205736972632
300418,300418_昆仑万维_2020年年度报告.pdf,0.1659789316578328,-0.3658708484847251
300418,300418_昆仑万维_2021年年度报告.pdf,-0.3658708484847251,1.528722255934584
300433,300433_蓝思科技_2020年年度报告.pdf,-0.2326842654292006,-0.5143526696500472
